bgA;bgB;bgC;bgD;bgE;V1;V2;V3;V4;V5
4;4;4;4;3;32;43;21;75;70
4;3;4;4;3;19;33;3;61;76
1;3;4;3;2;40;39;18;58;56
4;2;1;1;2;11;45;22;35;75
4;2;4;1;2;23;15;7;58;43
4;4;4;4;3;39;23;31;56;44
4;3;4;4;2;22;16;17;78;82
3;3;4;4;3;23;15;45;43;76
4;3;4;3;2;5;41;30;49;55
4;4;4;4;3;24;30;23;54;58
4;4;4;4;3;34;11;1;48;61
4;4;4;1;2;45;39;18;60;81
4;3;4;1;2;22;34;41;53;78
2;4;4;4;3;28;40;8;70;55
4;3;4;4;3;41;38;19;74;57
3;3;4;2;3;56;45;15;69;47
2;2;4;4;2;2;32;50;62;88
4;1;1;1;3;55;22;2;60;96
4;2;1;4;2;5;16;16;56;72
4;4;4;4;2;23;30;21;38;78
1;3;4;4;2;32;17;29;35;65
4;3;4;4;2;53;12;3;68;83
1;1;4;1;1;25;23;15;49;81
4;4;4;4;3;1;32;11;100;65
4;2;4;4;3;38;15;47;63;89
3;2;4;1;2;20;42;25;47;110
4;4;4;4;3;28;31;23;86;65
4;4;4;4;3;24;42;45;65;85
4;4;4;4;2;13;81;26;52;60
4;4;4;4;3;30;25;39;41;92
4;4;4;4;3;18;25;21;103;109
1;1;4;4;1;5;36;17;62;71
1;1;4;4;1;44;16;15;46;48
1;1;4;4;1;40;41;6;50;71
1;1;4;4;1;9;7;52;66;93
3;1;4;4;1;1;46;40;41;75
1;1;4;4;1;30;12;28;47;95
1;1;4;4;1;30;34;25;69;77
1;1;4;4;2;31;10;6;64;82
1;1;4;4;1;30;41;20;87;85
1;1;4;4;1;16;28;27;59;66
1;1;4;4;1;26;29;3;72;79
1;1;4;4;1;22;21;7;79;72
1;1;4;4;2;8;36;34;39;84
1;1;4;4;1;5;37;2;64;58
1;1;4;4;1;35;18;37;64;107
1;1;4;4;2;15;35;23;67;74
2;2;4;4;2;7;26;7;54;73
1;1;4;4;1;19;26;43;37;60
1;1;4;4;2;48;31;13;54;83
1;1;4;4;2;34;11;34;43;54
1;1;4;4;1;3;35;25;62;64
1;2;4;4;1;45;31;30;60;62
1;2;4;4;2;5;21;13;62;44
1;1;4;4;1;12;36;20;45;42
1;1;4;4;1;3;29;4;52;48
3;1;4;4;2;23;20;19;56;78
1;1;4;4;2;17;27;4;53;43
1;1;4;4;2;20;18;13;37;72
1;2;4;4;2;10;31;26;42;59
3;3;4;4;2;33;44;7;68;75
3;1;4;4;3;27;39;24;32;50
4;4;4;4;3;16;6;28;60;72
1;2;4;4;3;28;43;19;50;59
4;4;4;4;3;16;31;39;64;55
3;3;4;4;2;14;23;7;82;73
1;1;4;4;2;17;35;32;44;93
1;1;4;4;2;48;24;8;32;52
4;3;4;4;2;42;59;7;46;76
4;3;4;4;2;6;26;4;67;92
1;3;1;4;1;19;39;20;86;72
4;2;4;4;2;1;38;0;72;75
4;2;4;4;2;10;28;12;75;73
2;2;4;4;2;8;36;14;38;56
1;2;4;4;2;31;38;30;86;66
4;4;4;4;3;23;23;28;62;21
2;2;4;4;1;11;44;18;63;58
4;3;4;4;3;68;5;24;37;53
1;2;4;4;2;7;25;11;63;69
3;2;1;4;1;40;26;32;36;52
1;1;4;1;2;10;55;7;84;53
4;4;4;4;3;29;29;5;85;37
1;2;4;4;3;12;24;19;43;61
4;4;4;4;2;2;31;27;56;62
2;1;4;4;2;23;13;22;73;50
4;4;4;4;3;29;31;38;65;61
1;2;4;4;2;19;27;7;61;56
4;4;4;4;3;22;26;19;74;88
3;4;4;4;2;21;37;8;65;62
2;4;4;4;3;36;1;19;69;94
1;1;4;4;2;11;19;3;72;98
4;2;4;4;3;41;10;2;25;61
4;3;4;4;2;20;37;49;48;94
1;3;1;1;2;2;32;7;30;79
4;2;4;4;2;20;24;31;80;64
1;4;4;4;2;27;48;18;52;72
4;2;4;4;2;2;49;5;86;92
1;2;4;4;3;50;20;24;74;77
4;3;4;4;2;27;27;45;50;54
1;2;4;4;1;18;23;11;70;44
2;4;4;4;3;7;42;25;64;85
1;2;4;4;2;11;45;41;67;88
1;1;4;4;1;15;41;37;49;45
