bgA;bgB;bgC;bgD;bgE;V1;V2;V3;V4;V5
1;2;4;3;2;33;66;9;48;28
4;3;4;3;3;42;43;7;14;8
4;4;4;4;3;77;52;5;69;47
3;3;4;1;3;74;60;12;7;10
4;4;4;4;3;55;106;46;11;2
4;4;4;4;3;74;91;1;41;38
3;2;4;2;2;50;64;5;41;8
4;4;4;4;3;68;86;32;35;45
3;4;4;4;3;65;42;31;16;9
1;1;1;4;2;62;50;26;25;29
4;4;4;4;3;84;49;0;13;31
4;4;1;1;1;69;73;23;41;35
3;1;4;1;2;56;51;11;42;22
1;1;4;1;1;59;83;6;9;26
3;2;1;1;1;48;95;6;24;4
2;1;1;1;1;70;81;15;25;10
1;1;4;1;1;69;67;3;47;4
3;2;4;1;1;65;85;0;17;34
1;1;1;1;2;82;61;23;40;32
3;4;4;1;1;60;67;19;34;10
4;1;4;1;1;70;107;4;50;25
1;1;4;1;2;73;64;11;48;13
2;2;4;1;2;72;71;8;47;10
4;4;4;1;2;81;68;5;27;12
1;4;4;1;2;42;75;40;37;15
2;3;1;1;1;41;47;9;37;25
4;4;3;3;3;68;73;26;38;29
1;1;4;4;2;80;112;11;23;20
3;3;4;3;2;43;98;0;20;2
3;3;4;2;1;34;93;9;39;29
3;2;4;4;1;50;68;16;29;17
4;3;4;4;1;63;76;6;31;38
4;4;4;4;3;80;69;2;34;0
3;4;3;4;2;76;76;7;47;27
4;3;4;2;2;46;52;15;27;16
1;4;4;2;2;84;79;19;36;26
4;4;4;4;3;40;62;14;38;4
4;3;4;4;3;63;57;9;12;2
1;3;4;3;2;29;75;14;16;6
4;2;1;1;2;89;71;14;24;9
4;2;4;1;2;68;61;29;38;24
4;4;4;4;3;56;90;28;32;27
4;3;4;4;2;69;52;4;31;23
3;3;4;4;3;55;76;7;18;22
4;3;4;3;2;84;64;12;31;18
4;4;4;4;3;24;87;4;16;22
4;4;4;4;3;75;88;15;42;44
4;4;4;1;2;71;79;4;28;3
4;3;4;1;2;76;59;22;27;27
2;4;4;4;3;69;78;4;40;26
4;3;4;4;3;68;82;28;70;24
3;3;4;2;3;86;88;12;13;20
2;2;4;4;2;70;88;18;6;28
4;1;1;1;3;76;96;5;14;1
4;2;1;4;2;28;65;3;16;11
4;4;4;4;2;60;77;26;28;20
1;3;4;4;2;39;73;11;7;24
4;3;4;4;2;43;75;5;55;26
1;1;4;1;1;61;83;24;11;56
4;4;4;4;3;34;67;23;21;34
4;2;4;4;3;45;77;2;26;28
3;2;4;1;2;64;77;9;51;43
4;4;4;4;3;47;60;18;43;16
4;4;4;4;3;51;74;12;18;9
4;4;4;4;2;63;80;16;19;4
4;4;4;4;3;43;56;17;15;17
4;4;4;4;3;59;86;20;14;11
1;1;4;4;1;60;43;9;60;41
1;1;4;4;1;58;91;13;44;6
1;1;4;4;1;89;84;33;38;21
1;1;4;4;1;61;92;1;52;46
3;1;4;4;1;43;55;14;18;9
1;1;4;4;1;53;70;9;26;38
1;1;4;4;1;69;88;12;41;7
1;1;4;4;2;72;55;23;24;18
1;1;4;4;1;66;52;27;11;29
1;1;4;4;1;67;75;38;36;22
1;1;4;4;1;44;68;9;50;26
1;1;4;4;1;64;75;3;23;15
1;1;4;4;2;68;69;21;12;20
1;1;4;4;1;66;43;25;46;22
1;1;4;4;1;57;77;28;21;6
1;1;4;4;2;61;75;26;49;22
2;2;4;4;2;40;35;1;30;7
1;1;4;4;1;78;73;7;29;16
1;1;4;4;2;62;69;18;48;4
1;1;4;4;2;52;71;18;26;19
1;1;4;4;1;53;41;0;34;24
1;2;4;4;1;41;120;19;35;1
1;2;4;4;2;71;44;19;16;30
1;1;4;4;1;63;74;3;7;11
1;1;4;4;1;26;51;19;60;29
3;1;4;4;2;73;66;15;3;1
1;1;4;4;2;53;66;14;30;20
1;1;4;4;2;43;65;15;32;5
1;2;4;4;2;47;60;8;36;37
3;3;4;4;2;47;53;15;3;0
3;1;4;4;3;56;68;2;24;29
4;4;4;4;3;44;61;19;5;35
1;2;4;4;3;60;80;9;49;17
4;4;4;4;3;56;51;13;29;22
3;3;4;4;2;28;86;29;22;18
1;1;4;4;2;36;63;9;36;33
1;1;4;4;2;63;67;23;23;10
4;3;4;4;2;89;75;12;68;26
4;3;4;4;2;68;33;17;18;28
1;3;1;4;1;67;67;42;50;26
4;2;4;4;2;52;57;1;23;16
4;2;4;4;2;75;77;12;31;5
2;2;4;4;2;53;65;28;14;34
1;2;4;4;2;51;68;10;22;8
4;4;4;4;3;31;82;1;41;3
2;2;4;4;1;74;51;5;20;22
4;3;4;4;3;73;77;10;64;25
1;2;4;4;2;61;83;0;34;22
3;2;1;4;1;56;51;17;35;12
1;1;4;1;2;74;77;21;31;13
4;4;4;4;3;49;79;17;2;16
1;2;4;4;3;77;63;8;40;2
4;4;4;4;2;71;70;14;34;22
2;1;4;4;2;67;47;6;3;21
4;4;4;4;3;43;83;1;56;19
1;2;4;4;2;40;90;27;30;26
4;4;4;4;3;86;82;9;4;24
3;4;4;4;2;61;83;22;14;17
2;4;4;4;3;60;93;5;1;16
1;1;4;4;2;94;84;7;17;27
4;2;4;4;3;49;79;19;33;17
4;3;4;4;2;51;44;3;30;0
1;3;1;1;2;60;80;18;14;25
4;2;4;4;2;35;61;28;7;31
1;4;4;4;2;60;101;12;47;33
4;2;4;4;2;55;58;27;5;33
1;2;4;4;3;23;55;9;25;1
4;3;4;4;2;92;81;32;30;16
1;2;4;4;1;69;55;11;16;4
2;4;4;4;3;78;69;18;34;32
1;2;4;4;2;33;46;9;28;12
1;1;4;4;1;35;87;8;34;26
4;4;4;4;2;49;79;25;25;3
3;3;4;4;2;46;53;12;67;17
4;4;4;4;2;67;78;0;16;12
1;1;4;4;2;48;82;16;8;53
4;3;4;4;2;44;59;8;33;41
4;4;4;4;3;48;63;25;41;24
1;4;4;4;3;58;80;1;38;9
2;2;4;4;3;68;82;15;32;6
4;4;4;4;3;43;69;19;18;7
4;4;4;4;3;88;76;35;23;47
3;4;4;4;3;61;50;26;42;13
3;3;4;4;2;45;55;17;20;6
3;2;4;4;2;64;76;37;53;20
4;3;4;4;2;85;99;15;38;22
1;1;1;1;1;82;50;6;35;9
4;2;4;4;3;60;53;7;56;25
4;2;4;4;2;41;57;30;19;9
1;4;4;4;3;60;57;23;22;21
4;3;4;4;2;89;65;1;49;14
1;4;4;4;3;58;91;7;61;17
4;4;4;4;2;65;64;9;36;15
1;1;4;4;1;52;64;30;14;19
4;4;4;4;3;54;57;9;61;16
4;4;4;4;3;76;103;20;21;20
1;1;4;3;1;94;86;15;15;28
1;2;4;2;2;33;94;7;8;7
3;1;4;1;1;75;71;2;40;9
3;1;4;1;1;47;71;10;26;12
1;1;1;1;1;60;66;5;30;19
2;1;4;1;1;40;112;4;9;27
1;1;1;1;1;83;68;24;31;21
1;1;4;1;2;45;84;8;34;21
1;2;4;1;2;62;74;23;53;8
3;1;4;1;2;38;61;22;13;27
4;3;4;4;3;63;79;25;35;27
3;4;4;3;3;34;52;1;36;18
4;4;4;2;2;74;61;20;42;12
2;3;4;2;2;88;49;16;46;15
2;3;4;2;1;54;61;22;37;24
1;2;1;1;1;32;104;28;18;34
2;1;4;2;2;17;60;17;51;39
1;1;4;2;3;32;75;13;62;27
4;4;4;4;2;60;61;1;37;30
4;4;4;4;3;55;100;7;22;28
1;4;4;4;2;80;75;37;43;46
4;3;4;4;3;61;42;12;28;18
4;4;4;4;3;61;75;10;14;19
1;1;4;2;1;60;72;51;31;35
4;3;4;4;3;54;46;23;11;18
1;4;4;2;3;48;85;4;45;20
1;2;4;3;2;64;77;15;23;21
4;3;4;3;3;70;85;26;25;15
4;4;4;4;3;46;54;22;14;20
3;3;4;1;3;36;59;10;37;1
4;4;4;4;3;42;100;8;43;35
4;4;4;4;3;23;66;13;22;14
3;2;4;2;2;62;82;5;29;34
4;4;4;4;3;63;54;13;10;11
3;4;4;4;3;35;52;16;39;8
1;1;1;4;2;92;109;3;52;34
4;4;4;4;3;50;78;21;25;25
4;4;1;1;1;52;36;9;9;11
3;1;4;1;2;38;62;17;42;40
1;1;4;1;1;23;64;12;44;32
3;2;1;1;1;28;68;0;20;12
2;1;1;1;1;37;54;3;45;6
1;1;4;1;1;56;63;16;13;17
3;2;4;1;1;55;69;31;4;34
1;1;1;1;2;54;49;8;36;14
3;4;4;1;1;32;44;29;30;14
4;1;4;1;1;59;56;10;3;31
1;1;4;1;2;73;76;30;40;50
2;2;4;1;2;60;51;21;25;27
4;4;4;1;2;55;46;21;7;5
1;4;4;1;2;56;85;8;32;14
2;3;1;1;1;49;98;2;30;32
4;4;3;3;3;78;71;5;58;3
1;1;4;4;2;76;78;10;47;15
3;3;4;3;2;86;65;17;51;13
3;3;4;2;1;64;92;5;13;30
3;2;4;4;1;73;58;28;42;46
4;3;4;4;1;66;76;20;12;39
4;4;4;4;3;82;62;14;33;23
3;4;3;4;2;55;77;20;1;2
4;3;4;2;2;82;85;0;12;16
1;4;4;2;2;98;93;0;19;11
4;4;4;4;3;54;73;23;37;20
4;3;4;4;3;41;80;46;23;48
1;3;4;3;2;63;74;5;39;0
4;2;1;1;2;61;80;7;50;1
4;2;4;1;2;42;47;3;50;18
4;4;4;4;3;51;52;16;20;53
4;3;4;4;2;50;73;8;26;34
3;3;4;4;3;68;40;18;24;31
4;3;4;3;2;46;86;30;44;43
4;4;4;4;3;60;86;5;32;12
4;4;4;4;3;53;69;5;3;22
4;4;4;1;2;43;98;25;27;24
4;3;4;1;2;82;65;26;20;18
2;4;4;4;3;51;51;15;49;6
4;3;4;4;3;67;46;19;21;20
3;3;4;2;3;77;55;20;23;17
2;2;4;4;2;44;57;33;24;47
4;1;1;1;3;92;70;31;30;51
4;2;1;4;2;69;42;5;27;17
4;4;4;4;2;66;54;9;22;37
1;3;4;4;2;46;88;20;15;31
4;3;4;4;2;60;45;25;8;7
1;1;4;1;1;63;78;1;54;15
4;4;4;4;3;49;69;17;46;22
4;2;4;4;3;17;78;40;41;17
3;2;4;1;2;70;78;22;53;38
4;4;4;4;3;62;103;18;51;6
4;4;4;4;3;58;62;4;7;7
4;4;4;4;2;46;61;40;3;15
4;4;4;4;3;52;76;19;42;40
4;4;4;4;3;63;51;0;31;29
1;1;4;4;1;56;56;3;42;38
1;1;4;4;1;53;107;25;19;21
1;1;4;4;1;51;61;25;52;2
1;1;4;4;1;45;65;12;36;16
3;1;4;4;1;108;77;23;9;55
1;1;4;4;1;65;68;23;32;13
1;1;4;4;1;52;75;15;48;1
1;1;4;4;2;52;79;25;44;44
1;1;4;4;1;35;75;39;25;30
1;1;4;4;1;74;44;35;52;20
1;1;4;4;1;60;48;17;22;31
1;1;4;4;1;61;28;26;7;9
1;1;4;4;2;53;87;23;50;28
1;1;4;4;1;68;80;15;41;45
1;1;4;4;1;77;51;15;19;28
1;1;4;4;2;43;61;19;47;27
2;2;4;4;2;67;50;15;5;31
1;1;4;4;1;63;65;13;50;42
1;1;4;4;2;72;83;5;40;29
1;1;4;4;2;40;80;33;46;38
1;1;4;4;1;79;77;31;46;18
1;2;4;4;1;50;65;3;19;21
1;2;4;4;2;49;77;14;38;13
1;1;4;4;1;79;102;9;24;20
1;1;4;4;1;39;69;15;35;15
3;1;4;4;2;99;56;14;37;49
1;1;4;4;2;5;74;34;46;43
1;1;4;4;2;80;90;0;34;24
1;2;4;4;2;67;56;10;34;31
3;3;4;4;2;44;74;11;51;2
3;1;4;4;3;36;67;4;9;41
4;4;4;4;3;97;79;7;17;27
1;2;4;4;3;54;44;4;7;1
4;4;4;4;3;60;94;28;44;26
3;3;4;4;2;47;73;21;28;23
1;1;4;4;2;45;83;29;19;20
1;1;4;4;2;65;62;12;30;16
4;3;4;4;2;28;65;8;48;38
4;3;4;4;2;72;66;10;37;18
1;3;1;4;1;60;52;34;47;35
4;2;4;4;2;63;61;39;21;29
4;2;4;4;2;36;81;30;50;17
2;2;4;4;2;65;85;15;48;28
1;2;4;4;2;48;64;22;33;5
4;4;4;4;3;38;53;16;8;8
2;2;4;4;1;69;61;11;15;34
4;3;4;4;3;68;95;5;11;12
1;2;4;4;2;78;52;8;32;22
3;2;1;4;1;77;73;5;46;18
1;1;4;1;2;46;95;14;36;28
4;4;4;4;3;63;69;17;26;2
1;2;4;4;3;35;38;2;20;17
4;4;4;4;2;66;74;3;61;29
2;1;4;4;2;65;94;10;40;12
4;4;4;4;3;69;69;1;34;25
1;2;4;4;2;56;69;16;24;30
4;4;4;4;3;71;104;22;25;9
3;4;4;4;2;75;33;12;42;29
2;4;4;4;3;74;70;18;29;7
1;1;4;4;2;66;66;14;37;38
4;2;4;4;3;89;79;33;36;17
4;3;4;4;2;55;63;22;32;42
1;3;1;1;2;44;38;6;22;25
4;2;4;4;2;56;60;14;27;29
1;4;4;4;2;51;52;2;38;20
4;2;4;4;2;2;59;62;87;68
1;2;4;4;3;4;67;90;90;54
4;3;4;4;2;13;49;71;61;58
1;2;4;4;1;17;48;71;80;52
2;4;4;4;3;31;27;80;92;58
1;2;4;4;2;19;58;62;32;35
1;1;4;4;1;33;42;77;62;61
4;4;4;4;2;10;62;82;79;44
3;3;4;4;2;41;46;80;93;53
4;4;4;4;2;36;56;82;105;71
1;1;4;4;2;7;32;62;91;43
4;3;4;4;2;2;32;90;64;66
4;4;4;4;3;15;19;81;77;35
1;4;4;4;3;47;25;57;60;66
2;2;4;4;3;17;34;81;75;25
4;4;4;4;3;39;69;75;73;62
4;4;4;4;3;14;37;85;104;72
3;4;4;4;3;17;39;110;60;73
3;3;4;4;2;26;67;79;72;51
3;2;4;4;2;27;51;79;57;62
4;3;4;4;2;22;51;95;0;33
1;1;1;1;1;34;54;72;82;74
4;2;4;4;3;24;91;62;78;40
4;2;4;4;2;46;63;90;64;54
1;4;4;4;3;21;46;49;76;42
4;3;4;4;2;17;54;64;69;45
1;4;4;4;3;32;46;76;72;48
4;4;4;4;2;3;17;63;48;65
1;1;4;4;1;15;54;69;71;59
4;4;4;4;3;13;75;79;71;47
4;4;4;4;3;50;41;94;83;62
1;1;4;3;1;33;64;79;90;53
1;2;4;2;2;17;53;77;40;39
3;1;4;1;1;10;43;58;74;64
3;1;4;1;1;22;59;85;96;56
1;1;1;1;1;9;46;58;73;45
2;1;4;1;1;26;48;76;72;61
1;1;1;1;1;2;77;72;104;68
1;1;4;1;2;30;37;87;68;38
1;2;4;1;2;21;45;71;71;63
3;1;4;1;2;41;63;64;74;48
4;3;4;4;3;27;31;74;58;52
3;4;4;3;3;20;56;76;57;55
4;4;4;2;2;48;51;73;98;52
2;3;4;2;2;9;25;78;76;66
2;3;4;2;1;6;35;77;58;66
1;2;1;1;1;25;57;76;67;44
2;1;4;2;2;18;38;79;62;42
1;1;4;2;3;12;39;53;48;41
4;4;4;4;2;23;59;100;53;45
4;4;4;4;3;17;67;67;67;85
1;4;4;4;2;7;37;83;60;35
4;3;4;4;3;54;46;43;82;55
4;4;4;4;3;13;39;88;75;53
1;1;4;2;1;22;48;92;83;35
4;3;4;4;3;16;58;94;78;59
1;4;4;2;3;11;27;98;23;35
1;2;4;3;2;12;49;89;58;32
4;3;4;3;3;38;54;66;92;52
4;4;4;4;3;41;73;111;82;60
3;3;4;1;3;34;53;57;102;42
4;4;4;4;3;26;31;74;55;53
4;4;4;4;3;37;72;95;58;55
3;2;4;2;2;4;54;68;78;46
4;4;4;4;3;34;52;69;42;44
3;4;4;4;3;32;35;100;62;51
1;1;1;4;2;13;26;102;53;41
4;4;4;4;3;21;45;81;89;74
4;4;1;1;1;42;44;79;65;52
3;1;4;1;2;23;32;77;62;52
1;1;4;1;1;33;44;80;62;47
3;2;1;1;1;16;46;35;46;41
2;1;1;1;1;9;54;111;60;45
1;1;4;1;1;30;52;111;69;71
3;2;4;1;1;29;71;67;88;62
1;1;1;1;2;21;36;93;94;65
3;4;4;1;1;18;35;82;88;58
4;1;4;1;1;18;71;71;87;73
1;1;4;1;2;28;31;71;71;26
2;2;4;1;2;20;47;67;60;29
4;4;4;1;2;1;51;76;86;74
1;4;4;1;2;27;57;100;106;56
2;3;1;1;1;2;28;91;57;61
4;4;3;3;3;13;67;92;90;45
1;1;4;4;2;8;49;93;80;58
3;3;4;3;2;1;35;81;47;41
3;3;4;2;1;30;33;94;76;40
3;2;4;4;1;17;59;79;96;47
4;3;4;4;1;21;52;74;52;50
4;4;4;4;3;7;13;100;50;47
3;4;3;4;2;38;62;75;80;42
4;3;4;2;2;29;55;90;37;53
1;4;4;2;2;26;44;100;64;47
4;4;4;4;3;35;43;88;82;51
4;3;4;4;3;43;47;71;71;37
1;3;4;3;2;36;84;94;93;54
4;2;1;1;2;18;52;56;63;44
4;2;4;1;2;26;61;97;61;52
4;4;4;4;3;43;74;87;68;45
4;3;4;4;2;22;46;81;108;40
3;3;4;4;3;29;25;94;70;41
4;3;4;3;2;7;49;103;85;56
4;4;4;4;3;27;51;95;49;32
4;4;4;4;3;2;39;69;52;66
4;4;4;1;2;37;42;90;70;55
4;3;4;1;2;21;41;96;92;71
2;4;4;4;3;17;72;73;92;50
4;3;4;4;3;23;1;83;39;62
3;3;4;2;3;6;65;94;65;31
2;2;4;4;2;10;63;57;75;63
4;1;1;1;3;4;79;64;53;58
4;2;1;4;2;28;39;77;65;66
4;4;4;4;2;14;53;113;80;49
1;3;4;4;2;17;51;74;73;48
4;3;4;4;2;26;54;125;56;69
1;1;4;1;1;37;63;67;57;50
4;4;4;4;3;43;59;105;99;78
4;2;4;4;3;36;49;100;86;48
3;2;4;1;2;31;30;46;42;44
4;4;4;4;3;28;58;53;69;55
4;4;4;4;3;14;48;108;84;41
4;4;4;4;2;11;30;60;63;36
4;4;4;4;3;21;43;52;55;39
4;4;4;4;3;31;54;109;39;52
1;1;4;4;1;7;61;89;76;68
1;1;4;4;1;8;64;80;70;48
1;1;4;4;1;40;23;75;76;30
1;1;4;4;1;5;36;82;87;66
3;1;4;4;1;28;50;68;71;58
1;1;4;4;1;2;61;89;83;55
1;1;4;4;1;17;40;97;83;45
1;1;4;4;2;21;31;62;61;49
1;1;4;4;1;11;49;54;85;48
1;1;4;4;1;4;71;123;63;44
1;1;4;4;1;29;49;61;57;44
1;1;4;4;1;7;63;82;67;55
1;1;4;4;2;41;58;100;118;69
1;1;4;4;1;17;37;83;44;65
1;1;4;4;1;6;48;71;38;61
1;1;4;4;2;16;47;53;86;31
2;2;4;4;2;21;76;67;61;56
1;1;4;4;1;19;37;63;104;50
1;1;4;4;2;28;28;85;77;43
1;1;4;4;2;15;72;88;42;56
1;1;4;4;1;3;69;75;97;41
1;2;4;4;1;41;59;64;51;57
1;2;4;4;2;14;54;77;76;26
1;1;4;4;1;44;47;66;103;31
1;1;4;4;1;11;49;99;79;37
3;1;4;4;2;29;53;58;88;42
1;1;4;4;2;3;63;90;79;59
1;1;4;4;2;15;35;91;79;51
1;2;4;4;2;2;46;70;58;63
3;3;4;4;2;14;34;83;60;57
3;1;4;4;3;47;64;82;83;56
4;4;4;4;3;14;66;62;104;47
1;2;4;4;3;27;48;92;73;67
4;4;4;4;3;32;55;64;49;38
3;3;4;4;2;24;55;86;62;58
1;1;4;4;2;53;43;59;72;43
1;1;4;4;2;19;46;64;66;44
4;3;4;4;2;42;48;82;45;64
4;3;4;4;2;36;39;68;88;48
1;3;1;4;1;19;36;58;63;67
4;2;4;4;2;44;39;82;58;53
4;2;4;4;2;33;47;81;98;15
2;2;4;4;2;31;63;114;69;61
1;2;4;4;2;8;47;86;64;73
4;4;4;4;3;29;60;95;73;41
2;2;4;4;1;46;65;85;77;58
4;3;4;4;3;21;45;75;53;66
1;2;4;4;2;37;45;83;72;36
3;2;1;4;1;0;70;53;107;67
1;1;4;1;2;18;41;90;67;46
4;4;4;4;3;47;54;100;99;78
1;2;4;4;3;8;42;68;51;59
4;4;4;4;2;5;43;67;81;16
2;1;4;4;2;21;64;65;81;72
4;4;4;4;3;38;25;69;70;29
1;2;4;4;2;42;37;103;67;59
4;4;4;4;3;28;48;109;55;45
3;4;4;4;2;19;44;94;91;56
2;4;4;4;3;9;76;93;89;52
1;1;4;4;2;8;50;99;45;32
4;2;4;4;3;23;38;86;86;70
4;3;4;4;2;10;34;93;74;45
1;3;1;1;2;28;49;70;62;48
4;2;4;4;2;5;51;67;78;43
1;4;4;4;2;31;59;97;101;49
4;2;4;4;2;3;70;96;70;58
1;2;4;4;3;26;67;68;65;68
4;3;4;4;2;27;48;63;61;65
1;2;4;4;1;24;48;129;80;41
2;4;4;4;3;29;70;65;89;37
1;2;4;4;2;42;40;93;94;54
1;1;4;4;1;18;47;74;98;46
4;4;4;4;2;19;76;61;90;65
3;3;4;4;2;36;29;74;34;35
4;4;4;4;2;30;25;72;56;45
1;1;4;4;2;0;30;74;68;51
4;3;4;4;2;3;62;75;61;68
4;4;4;4;3;21;48;95;73;36
1;4;4;4;3;1;49;77;73;33
2;2;4;4;3;30;54;76;105;71
4;4;4;4;3;9;50;78;81;32
4;4;4;4;3;7;34;78;90;39
3;4;4;4;3;40;70;92;72;59
3;3;4;4;2;17;46;94;74;45
3;2;4;4;2;13;45;83;58;28
4;3;4;4;2;9;31;94;83;40
1;1;1;1;1;9;76;81;92;72
4;2;4;4;3;17;27;55;57;62
4;2;4;4;2;13;46;77;67;63
1;4;4;4;3;5;22;93;42;49
4;3;4;4;2;30;37;96;56;37
1;4;4;4;3;17;37;64;83;70
4;4;4;4;2;17;51;83;50;46
1;1;4;4;1;1;62;75;47;49
4;4;4;4;3;45;53;81;56;45
4;4;4;4;3;12;14;80;77;51
1;1;4;3;1;12;73;55;91;42
1;2;4;2;2;12;66;89;67;45
3;1;4;1;1;17;48;45;88;28
3;1;4;1;1;29;68;86;97;35
1;1;1;1;1;52;30;42;102;52
2;1;4;1;1;6;20;63;57;56
1;1;1;1;1;21;47;99;71;61
1;1;4;1;2;1;58;119;61;54
1;2;4;1;2;2;50;67;82;48
3;1;4;1;2;51;37;92;80;60
4;3;4;4;3;15;50;68;61;37
3;4;4;3;3;43;41;82;86;48
4;4;4;2;2;10;65;62;59;41
2;3;4;2;2;44;34;64;66;51
2;3;4;2;1;42;50;75;72;57
1;2;1;1;1;11;28;79;93;66
2;1;4;2;2;37;71;76;55;50
1;1;4;2;3;2;64;71;70;46
4;4;4;4;2;0;67;76;72;27
4;4;4;4;3;9;41;58;73;76
1;4;4;4;2;31;23;58;91;55
4;3;4;4;3;27;34;86;74;51
4;4;4;4;3;7;48;68;86;23
1;1;4;2;1;31;48;68;54;47
4;3;4;4;3;12;50;83;52;51
1;4;4;2;3;38;56;86;67;52
1;2;4;3;2;24;68;113;87;52
4;3;4;3;3;41;47;78;82;49
4;4;4;4;3;30;43;88;86;21
3;3;4;1;3;59;58;87;44;35
4;4;4;4;3;15;37;66;86;48
4;4;4;4;3;7;48;75;69;26
3;2;4;2;2;17;53;77;74;37
4;4;4;4;3;33;80;74;82;44
3;4;4;4;3;32;76;115;73;56
1;1;1;4;2;22;64;79;63;54
4;4;4;4;3;7;39;63;110;16
4;4;1;1;1;17;20;84;80;39
3;1;4;1;2;48;55;82;61;50
1;1;4;1;1;24;45;74;53;42
3;2;1;1;1;12;34;98;71;75
2;1;1;1;1;0;42;67;71;49
1;1;4;1;1;4;50;51;72;52
3;2;4;1;1;12;74;85;67;41
1;1;1;1;2;24;46;88;77;39
3;4;4;1;1;6;61;78;101;24
4;1;4;1;1;11;54;82;96;57
1;1;4;1;2;7;65;69;86;57
2;2;4;1;2;16;43;70;50;61
4;4;4;1;2;24;67;82;94;73
1;4;4;1;2;16;48;49;42;58
2;3;1;1;1;22;36;62;31;74
4;4;3;3;3;15;20;71;70;60
1;1;4;4;2;13;46;64;29;47
3;3;4;3;2;15;16;81;80;66
3;3;4;2;1;7;54;72;66;24
3;2;4;4;1;15;41;82;92;49
4;3;4;4;1;42;55;86;77;50
4;4;4;4;3;26;45;111;59;32
3;4;3;4;2;16;46;60;50;45
4;3;4;2;2;17;44;44;75;62
1;4;4;2;2;16;53;100;82;42
4;4;4;4;3;5;30;63;63;50
4;3;4;4;3;21;63;89;75;57
1;3;4;3;2;13;34;65;81;46
4;2;1;1;2;41;51;64;86;38
4;2;4;1;2;28;39;42;79;56
4;4;4;4;3;11;59;80;97;42
4;3;4;4;2;7;57;99;69;63
3;3;4;4;3;24;58;87;93;35
4;3;4;3;2;58;50;87;62;68
4;4;4;4;3;35;73;82;63;41
4;4;4;4;3;23;53;67;84;68
4;4;4;1;2;11;23;63;92;17
4;3;4;1;2;20;59;81;41;57
2;4;4;4;3;47;68;101;98;38
4;3;4;4;3;1;81;70;76;40
3;3;4;2;3;14;74;108;81;57
2;2;4;4;2;22;44;75;104;56
4;1;1;1;3;31;40;88;48;45
4;2;1;4;2;34;19;47;59;36
4;4;4;4;2;16;48;71;77;48
1;3;4;4;2;30;48;78;62;48
4;3;4;4;2;23;81;84;95;56
1;1;4;1;1;1;44;100;109;38
4;4;4;4;3;28;37;58;65;38
4;2;4;4;3;27;57;101;61;45
3;2;4;1;2;43;48;51;103;64
4;4;4;4;3;39;65;76;87;43
4;4;4;4;3;10;48;93;52;75
4;4;4;4;2;6;58;51;70;63
4;4;4;4;3;24;35;104;67;70
4;4;4;4;3;14;19;103;76;50
1;1;4;4;1;16;57;95;60;29
1;1;4;4;1;36;29;69;74;55
1;1;4;4;1;3;23;111;68;59
1;1;4;4;1;21;66;89;52;68
3;1;4;4;1;48;45;52;73;50
1;1;4;4;1;15;55;71;59;24
1;1;4;4;1;34;74;85;60;41
1;1;4;4;2;23;62;72;95;54
1;1;4;4;1;26;31;95;77;51
1;1;4;4;1;18;56;64;55;67
1;1;4;4;1;35;54;85;87;44
1;1;4;4;1;22;68;118;53;46
1;1;4;4;2;33;34;92;69;64
1;1;4;4;1;11;55;66;97;40
1;1;4;4;1;30;62;100;56;63
1;1;4;4;2;24;41;110;29;47
2;2;4;4;2;51;40;110;92;73
1;1;4;4;1;14;59;90;45;32
1;1;4;4;2;31;54;79;55;56
1;1;4;4;2;21;55;94;83;27
1;1;4;4;1;17;35;93;81;56
1;2;4;4;1;12;31;79;55;35
1;2;4;4;2;16;70;73;64;76
1;1;4;4;1;20;40;45;48;48
1;1;4;4;1;18;23;54;61;41
3;1;4;4;2;29;38;83;63;16
1;1;4;4;2;22;49;80;77;46
1;1;4;4;2;12;53;84;70;52
1;2;4;4;2;22;49;83;54;39
3;3;4;4;2;3;39;67;69;53
3;1;4;4;3;12;37;67;91;58
4;4;4;4;3;23;67;40;99;20
1;2;4;4;3;25;58;45;89;51
4;4;4;4;3;31;48;94;105;37
3;3;4;4;2;4;58;69;114;58
1;1;4;4;2;25;45;98;53;42
1;1;4;4;2;36;49;81;56;11
4;3;4;4;2;4;48;78;80;61
4;3;4;4;2;16;43;74;74;41
1;3;1;4;1;19;57;112;56;69
4;2;4;4;2;19;62;117;79;53
4;2;4;4;2;3;54;74;53;54
2;2;4;4;2;3;65;120;88;49
1;2;4;4;2;35;22;82;74;47
4;4;4;4;3;25;28;67;52;40
2;2;4;4;1;12;50;75;77;46
4;3;4;4;3;8;60;45;47;43
1;2;4;4;2;8;66;96;56;50
3;2;1;4;1;23;43;94;57;69
1;1;4;1;2;20;35;91;87;62
4;4;4;4;3;50;51;106;73;63
1;2;4;4;3;14;48;38;58;50
4;4;4;4;2;32;51;56;50;80
2;1;4;4;2;10;49;77;97;61
4;4;4;4;3;6;82;66;74;59
1;2;4;4;2;32;56;69;75;47
4;4;4;4;3;15;24;79;81;52
3;4;4;4;2;42;36;81;53;82
2;4;4;4;3;5;62;53;52;29
1;1;4;4;2;33;58;83;87;27
4;2;4;4;3;31;56;66;57;39
4;3;4;4;2;17;55;84;39;58
1;3;1;1;2;21;29;83;48;52
4;2;4;4;2;10;40;65;89;23
